name	taxonomy_id	taxonomy_lvl	14_order.bracken_num	14_order.bracken_frac	17_order.bracken_num	17_order.bracken_frac	19_order.bracken_num	19_order.bracken_frac	20_order.bracken_num	20_order.bracken_frac	2126_order.bracken_num	2126_order.bracken_frac	22a_order.bracken_num	22a_order.bracken_frac	22b_order.bracken_num	22b_order.bracken_frac	25_order.bracken_num	25_order.bracken_frac	2621_order.bracken_num	2621_order.bracken_frac	27_order.bracken_num	27_order.bracken_frac	Stan_order.bracken_num	Stan_order.bracken_frac
Candidatus Nitrosocaldales	1968909	O	111	0.00000	485	0.00002	0	0.00000	141	0.00000	33	0.00000	48	0.00001	133	0.00001	0	0.00000	0	0.00000	107	0.00001	45	0.00000
Caudovirales	28883	O	16894	0.00068	9146	0.00042	22163	0.00103	115831	0.00339	31324	0.00357	1716	0.00020	4176	0.00020	2769	0.00019	12644	0.00085	254732	0.01969	8823	0.00087
Herpesvirales	548681	O	27	0.00000	128	0.00001	24	0.00000	34	0.00000	3	0.00000	4	0.00000	21	0.00000	8	0.00000	13	0.00000	7	0.00000	14	0.00000
Martellivirales	2732544	O	45	0.00000	22	0.00000	17	0.00000	64	0.00000	8	0.00000	3	0.00000	14	0.00000	31	0.00000	17	0.00000	9	0.00000	6	0.00000
Amarillovirales	2732545	O	5	0.00000	8	0.00000	2	0.00000	8	0.00000	2	0.00000	5	0.00000	5	0.00000	0	0.00000	14	0.00000	2	0.00000	4	0.00000
Bunyavirales	1980410	O	10	0.00000	24	0.00000	8	0.00000	8	0.00000	0	0.00000	1	0.00000	3	0.00000	9	0.00000	3	0.00000	8	0.00000	2	0.00000
Mononegavirales	11157	O	6	0.00000	3	0.00000	14	0.00000	6	0.00000	2	0.00000	5	0.00000	10	0.00000	1	0.00000	2	0.00000	5	0.00000	0	0.00000
Picornavirales	464095	O	17	0.00000	44	0.00000	0	0.00000	110	0.00000	7	0.00000	3	0.00000	7	0.00000	3	0.00000	7	0.00000	7	0.00000	0	0.00000
Ortervirales	2169561	O	14	0.00000	0	0.00000	0	0.00000	1	0.00000	29	0.00000	5	0.00000	5	0.00000	0	0.00000	56	0.00000	47	0.00000	55	0.00001
Imitervirales	2732554	O	28	0.00000	76	0.00000	12	0.00000	21	0.00000	10	0.00000	6	0.00000	31	0.00000	9	0.00000	20	0.00000	32	0.00000	15	0.00000
Algavirales	2732524	O	17	0.00000	53	0.00000	19	0.00000	76	0.00000	11	0.00000	23	0.00000	59	0.00000	13	0.00000	12	0.00000	34	0.00000	10	0.00000
Pimascovirales	2732555	O	13	0.00000	39	0.00000	34	0.00000	50	0.00000	4	0.00000	12	0.00000	30	0.00000	27	0.00000	34	0.00000	20	0.00000	10	0.00000
Chitovirales	2732527	O	31	0.00000	59	0.00000	16	0.00000	32	0.00000	8	0.00000	20	0.00000	36	0.00000	33	0.00000	64	0.00000	26	0.00000	9	0.00000
Rowavirales	2732559	O	4	0.00000	38	0.00000	4	0.00000	18	0.00000	2	0.00000	0	0.00000	1	0.00000	2	0.00000	13	0.00000	4	0.00000	7	0.00000
Petitvirales	2732414	O	39	0.00000	161	0.00001	13	0.00000	8	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	20	0.00000	108	0.00001	6	0.00000
Sepolyvirales	2732532	O	8	0.00000	2	0.00000	2	0.00000	4	0.00000	3	0.00000	0	0.00000	0	0.00000	9	0.00000	3	0.00000	0	0.00000	1	0.00000
Zurhausenvirales	2732533	O	2	0.00000	11	0.00000	0	0.00000	1	0.00000	0	0.00000	9	0.00000	22	0.00000	0	0.00000	4	0.00000	1	0.00000	1	0.00000
Piccovirales	2732534	O	61	0.00000	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000	4	0.00000
Ligamenvirales	1511857	O	16	0.00000	29	0.00000	0	0.00000	3	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	9	0.00000	21	0.00000	0	0.00000
Asfuvirales	2732526	O	0	0.00000	2	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Halopanivirales	2732011	O	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Geplafuvirales	2732539	O	0	0.00000	4	0.00000	19	0.00000	2	0.00000	9	0.00000	25	0.00000	10	0.00000	0	0.00000	4	0.00000	0	0.00000	0	0.00000
Cremevirales	2732537	O	0	0.00000	1	0.00000	0	0.00000	2	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000
Nidovirales	76804	O	0	0.00000	5	0.00000	0	0.00000	19	0.00000	2	0.00000	0	0.00000	0	0.00000	75	0.00001	2	0.00000	1	0.00000	3	0.00000
Patatavirales	2732550	O	0	0.00000	5	0.00000	0	0.00000	5	0.00000	0	0.00000	2	0.00000	2	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000
Stellavirales	2732551	O	0	0.00000	5	0.00000	41	0.00000	0	0.00000	0	0.00000	1	0.00000	1	0.00000	0	0.00000	0	0.00000	8	0.00000	0	0.00000
Durnavirales	2732549	O	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Tymovirales	675063	O	0	0.00000	9	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	3	0.00000	0	0.00000	0	0.00000
Hepelivirales	2732543	O	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Muvirales	2499405	O	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Reovirales	2732541	O	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	5	0.00000	0	0.00000	1	0.00000
Ghabrivirales	2732540	O	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	2	0.00000
Wolframvirales	2732502	O	0	0.00000	203	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Priklausovirales	2732556	O	0	0.00000	0	0.00000	2	0.00000	107	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000	1	0.00000
Serpentovirales	2499881	O	0	0.00000	0	0.00000	1	0.00000	0	0.00000	2	0.00000	2	0.00000	6	0.00000	0	0.00000	6	0.00000	0	0.00000	2	0.00000
Tolivirales	2732548	O	0	0.00000	0	0.00000	4	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000	0	0.00000	2	0.00000
Cryppavirales	2732503	O	0	0.00000	0	0.00000	0	0.00000	39	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00000
Kalamavirales	2732558	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	9	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cirlivirales	2732536	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	51	0.00000	1	0.00000	0	0.00000	2	0.00000	0	0.00000
Articulavirales	2499411	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Belfryvirales	2732557	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000
Tubulavirales	2732094	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00000	6	0.00000	0	0.00000
