name	taxonomy_id	taxonomy_lvl	14_order.bracken_num	14_order.bracken_frac	17_order.bracken_num	17_order.bracken_frac	19_order.bracken_num	19_order.bracken_frac	20_order.bracken_num	20_order.bracken_frac	2126_order.bracken_num	2126_order.bracken_frac	22a_order.bracken_num	22a_order.bracken_frac	22b_order.bracken_num	22b_order.bracken_frac	25_order.bracken_num	25_order.bracken_frac	2621_order.bracken_num	2621_order.bracken_frac	27_order.bracken_num	27_order.bracken_frac	Stan_order.bracken_num	Stan_order.bracken_frac
Thermomicrobiales	189776	O	25	0.00000	240	0.00001	109	0.00001	35	0.00000	19	0.00000	27	0.00000	82	0.00000	28	0.00000	81	0.00001	95	0.00001	54	0.00001
Ardenticatenales	1382929	O	84	0.00000	1113	0.00005	228	0.00001	483	0.00001	137	0.00002	52	0.00001	113	0.00001	101	0.00001	318	0.00002	217	0.00002	113	0.00001
Deinococcales	118964	O	1184	0.00005	11196	0.00052	3234	0.00015	4465	0.00013	1121	0.00013	715	0.00008	1810	0.00009	1014	0.00007	3305	0.00022	2475	0.00019	1578	0.00016
Thermales	68933	O	662	0.00003	5444	0.00025	1022	0.00005	1646	0.00005	417	0.00005	267	0.00003	654	0.00003	686	0.00005	1465	0.00010	996	0.00008	679	0.00007
Trueperales	2762275	O	77	0.00000	437	0.00002	151	0.00001	55	0.00000	37	0.00000	32	0.00000	121	0.00001	31	0.00000	108	0.00001	166	0.00001	65	0.00001
Chthonomonadales	1077263	O	77	0.00000	508	0.00002	121	0.00001	157	0.00000	64	0.00001	49	0.00001	79	0.00000	67	0.00000	156	0.00001	106	0.00001	70	0.00001
Fimbriimonadales	1663425	O	98	0.00000	426	0.00002	154	0.00001	121	0.00000	46	0.00001	27	0.00000	127	0.00001	70	0.00000	211	0.00001	129	0.00001	70	0.00001
Bacteroidales	171549	O	7685523	0.31151	5921207	0.27327	6180513	0.28814	11585687	0.33937	849485	0.09683	3008531	0.35432	7295410	0.35610	4275506	0.28774	3560411	0.24038	2058079	0.15905	4358292	0.42942
Marinilabiliales	1970189	O	1335	0.00005	3741	0.00017	664	0.00003	1412	0.00004	221	0.00003	267	0.00003	586	0.00003	693	0.00005	802	0.00005	508	0.00004	573	0.00006
Flavobacteriales	200644	O	31087	0.00126	46932	0.00217	14308	0.00067	39817	0.00117	8417	0.00096	8464	0.00100	21113	0.00103	22088	0.00149	21158	0.00143	15914	0.00123	12167	0.00120
Cytophagales	768507	O	11779	0.00048	30429	0.00140	10930	0.00051	15744	0.00046	3106	0.00035	3261	0.00038	7751	0.00038	7053	0.00047	9536	0.00064	6529	0.00050	5023	0.00049
Sphingobacteriales	200666	O	8760	0.00036	9795	0.00045	3848	0.00018	11047	0.00032	1776	0.00020	2119	0.00025	5024	0.00025	5862	0.00039	5027	0.00034	3541	0.00027	3253	0.00032
Chitinophagales	1853229	O	4080	0.00017	7820	0.00036	3328	0.00016	5683	0.00017	946	0.00011	1231	0.00014	3034	0.00015	2446	0.00016	3351	0.00023	2015	0.00016	1899	0.00019
Bacteroidetes Order II. Incertae sedis	1100069	O	358	0.00001	1899	0.00009	624	0.00003	1028	0.00003	206	0.00002	149	0.00002	379	0.00002	227	0.00002	626	0.00004	413	0.00003	221	0.00002
Saprospirales	1936988	O	187	0.00001	832	0.00004	155	0.00001	172	0.00001	29	0.00000	58	0.00001	130	0.00001	251	0.00002	191	0.00001	95	0.00001	117	0.00001
Chlorobiales	191411	O	1861	0.00008	6424	0.00030	2333	0.00011	2856	0.00008	895	0.00010	814	0.00010	2160	0.00011	1563	0.00011	2467	0.00017	1763	0.00014	1008	0.00010
Ignavibacteriales	795748	O	690	0.00003	1306	0.00006	370	0.00002	996	0.00003	219	0.00002	254	0.00003	612	0.00003	558	0.00004	612	0.00004	515	0.00004	348	0.00003
Gemmatimonadales	219686	O	349	0.00001	2283	0.00011	620	0.00003	827	0.00002	217	0.00002	158	0.00002	397	0.00002	177	0.00001	568	0.00004	484	0.00004	291	0.00003
Fibrobacterales	218872	O	417	0.00002	1424	0.00007	591	0.00003	648	0.00002	175	0.00002	140	0.00002	322	0.00002	629	0.00004	553	0.00004	495	0.00004	270	0.00003
Enterobacterales	91347	O	56884	0.00231	98150	0.00453	66405	0.00310	73436	0.00215	21348	0.00243	13564	0.00160	32446	0.00158	34408	0.00232	488758	0.03300	28026	0.00217	43346	0.00427
Pseudomonadales	72274	O	36993	0.00150	152849	0.00705	51956	0.00242	76116	0.00223	18460	0.00210	25741	0.00303	61369	0.00300	27140	0.00183	45332	0.00306	42285	0.00327	26042	0.00257
Alteromonadales	135622	O	9436	0.00038	17806	0.00082	6825	0.00032	11897	0.00035	3053	0.00035	3337	0.00039	8293	0.00040	6938	0.00047	8769	0.00059	7182	0.00056	4210	0.00041
Vibrionales	135623	O	6383	0.00026	10030	0.00046	4668	0.00022	9471	0.00028	2522	0.00029	2854	0.00034	6952	0.00034	5890	0.00040	5999	0.00041	4769	0.00037	3329	0.00033
Oceanospirillales	135619	O	5274	0.00021	18927	0.00087	7001	0.00033	9674	0.00028	2465	0.00028	2264	0.00027	5644	0.00028	4748	0.00032	7814	0.00053	5499	0.00042	3147	0.00031
Xanthomonadales	135614	O	4878	0.00020	27297	0.00126	9083	0.00042	11823	0.00035	2881	0.00033	1985	0.00023	5058	0.00025	3583	0.00024	8611	0.00058	6028	0.00047	3983	0.00039
Pasteurellales	135625	O	5907	0.00024	12368	0.00057	4317	0.00020	23589	0.00069	2011	0.00023	3623	0.00043	8841	0.00043	4989	0.00034	8776	0.00059	4211	0.00033	3790	0.00037
Aeromonadales	135624	O	3491	0.00014	11730	0.00054	6364	0.00030	6224	0.00018	1752	0.00020	1466	0.00017	3372	0.00016	2945	0.00020	4933	0.00033	2901	0.00022	2194	0.00022
Chromatiales	135613	O	2790	0.00011	12176	0.00056	4102	0.00019	6119	0.00018	1644	0.00019	1312	0.00015	3166	0.00015	2336	0.00016	4845	0.00033	3018	0.00023	2060	0.00020
Cellvibrionales	1706369	O	2202	0.00009	7094	0.00033	2313	0.00011	3645	0.00011	886	0.00010	871	0.00010	2000	0.00010	2000	0.00013	2662	0.00018	1726	0.00013	1177	0.00012
Legionellales	118969	O	2097	0.00008	5033	0.00023	1793	0.00008	2518	0.00007	690	0.00008	620	0.00007	1460	0.00007	1273	0.00009	2249	0.00015	1641	0.00013	1208	0.00012
Thiotrichales	72273	O	1787	0.00007	4553	0.00021	1308	0.00006	2444	0.00007	793	0.00009	876	0.00010	2104	0.00010	1471	0.00010	1888	0.00013	1529	0.00012	967	0.00010
Methylococcales	135618	O	1732	0.00007	4138	0.00019	1286	0.00006	2232	0.00007	722	0.00008	630	0.00007	1609	0.00008	1535	0.00010	1622	0.00011	1254	0.00010	819	0.00008
Nevskiales	1775403	O	788	0.00003	969	0.00004	484	0.00002	571	0.00002	168	0.00002	73	0.00001	189	0.00001	273	0.00002	289	0.00002	267	0.00002	211	0.00002
Orbales	1240482	O	281	0.00001	441	0.00002	332	0.00002	401	0.00001	81	0.00001	111	0.00001	278	0.00001	379	0.00003	269	0.00002	176	0.00001	102	0.00001
Acidiferrobacterales	1692040	O	252	0.00001	1894	0.00009	414	0.00002	491	0.00001	135	0.00002	104	0.00001	218	0.00001	178	0.00001	478	0.00003	217	0.00002	187	0.00002
Cardiobacteriales	135615	O	88	0.00000	1267	0.00006	172	0.00001	259	0.00001	54	0.00001	31	0.00000	157	0.00001	201	0.00001	287	0.00002	209	0.00002	101	0.00001
Immundisolibacterales	1934945	O	64	0.00000	360	0.00002	151	0.00001	86	0.00000	50	0.00001	50	0.00001	61	0.00000	33	0.00000	91	0.00001	80	0.00001	97	0.00001
Salinisphaerales	742030	O	57	0.00000	287	0.00001	66	0.00000	74	0.00000	60	0.00001	14	0.00000	32	0.00000	67	0.00000	89	0.00001	63	0.00000	43	0.00000
Campylobacterales	213849	O	77147	0.00313	29748	0.00137	26761	0.00125	53602	0.00157	21899	0.00250	22721	0.00268	51356	0.00251	27457	0.00185	45797	0.00309	14105	0.00109	9712	0.00096
Nautiliales	235899	O	747	0.00003	878	0.00004	414	0.00002	842	0.00002	260	0.00003	328	0.00004	745	0.00004	554	0.00004	617	0.00004	381	0.00003	318	0.00003
Desulfovibrionales	213115	O	12240	0.00050	443033	0.02045	43238	0.00202	19999	0.00059	3498	0.00040	2220	0.00026	5285	0.00026	6422	0.00043	67906	0.00458	72120	0.00557	12561	0.00124
Desulfobacterales	213118	O	3497	0.00014	11096	0.00051	3494	0.00016	5683	0.00017	1601	0.00018	1302	0.00015	3332	0.00016	3078	0.00021	4435	0.00030	2860	0.00022	2207	0.00022
Desulfuromonadales	69541	O	3297	0.00013	17945	0.00083	4993	0.00023	7024	0.00021	1828	0.00021	1521	0.00018	3691	0.00018	2975	0.00020	5488	0.00037	3587	0.00028	2624	0.00026
Myxococcales	29	O	2503	0.00010	19836	0.00092	5596	0.00026	6743	0.00020	1938	0.00022	1152	0.00014	2813	0.00014	1711	0.00012	4836	0.00033	4244	0.00033	2476	0.00024
Syntrophobacterales	213462	O	510	0.00002	2514	0.00012	759	0.00004	1067	0.00003	257	0.00003	241	0.00003	517	0.00003	470	0.00003	932	0.00006	686	0.00005	415	0.00004
Bradymonadales	1779134	O	232	0.00001	1338	0.00006	376	0.00002	434	0.00001	208	0.00002	143	0.00002	334	0.00002	171	0.00001	410	0.00003	256	0.00002	213	0.00002
Desulfurellales	213113	O	281	0.00001	549	0.00003	134	0.00001	422	0.00001	106	0.00001	74	0.00001	170	0.00001	104	0.00001	205	0.00001	229	0.00002	108	0.00001
Desulfarculales	453227	O	146	0.00001	1543	0.00007	425	0.00002	427	0.00001	131	0.00001	79	0.00001	281	0.00001	167	0.00001	372	0.00003	301	0.00002	143	0.00001
Rhizobiales	356	O	21274	0.00086	117774	0.00544	35645	0.00166	47338	0.00139	12704	0.00145	10856	0.00128	26180	0.00128	19093	0.00128	39293	0.00265	27579	0.00213	18155	0.00179
Rhodobacterales	204455	O	8622	0.00035	45819	0.00211	14748	0.00069	20539	0.00060	4788	0.00055	3859	0.00045	9056	0.00044	6468	0.00044	15973	0.00108	10544	0.00081	6984	0.00069
Sphingomonadales	204457	O	7027	0.00028	39312	0.00181	12465	0.00058	16049	0.00047	4767	0.00054	3310	0.00039	8307	0.00041	5430	0.00037	13649	0.00092	9494	0.00073	6021	0.00059
Rhodospirillales	204441	O	6043	0.00024	32142	0.00148	9937	0.00046	12773	0.00037	3609	0.00041	2519	0.00030	6294	0.00031	4455	0.00030	10756	0.00073	7393	0.00057	4735	0.00047
Rickettsiales	766	O	1722	0.00007	6283	0.00029	1694	0.00008	3270	0.00010	1129	0.00013	636	0.00007	1558	0.00008	1114	0.00007	2362	0.00016	2163	0.00017	1354	0.00013
Caulobacterales	204458	O	1731	0.00007	9374	0.00043	3023	0.00014	4209	0.00012	986	0.00011	750	0.00009	1862	0.00009	1317	0.00009	3217	0.00022	2228	0.00017	1324	0.00013
Pelagibacterales	54526	O	384	0.00002	688	0.00003	151	0.00001	319	0.00001	86	0.00001	109	0.00001	290	0.00001	166	0.00001	298	0.00002	291	0.00002	163	0.00002
Holosporales	1921002	O	163	0.00001	450	0.00002	94	0.00000	300	0.00001	72	0.00001	58	0.00001	152	0.00001	143	0.00001	279	0.00002	125	0.00001	106	0.00001
Kordiimonadales	362534	O	64	0.00000	91	0.00000	56	0.00000	39	0.00000	40	0.00000	17	0.00000	42	0.00000	165	0.00001	58	0.00000	38	0.00000	34	0.00000
Emcibacterales	2066490	O	55	0.00000	749	0.00003	258	0.00001	159	0.00000	92	0.00001	110	0.00001	231	0.00001	70	0.00000	185	0.00001	213	0.00002	125	0.00001
Magnetococcales	1191478	O	43	0.00000	348	0.00002	65	0.00000	126	0.00000	33	0.00000	18	0.00000	29	0.00000	111	0.00001	134	0.00001	94	0.00001	49	0.00000
Parvularculales	255473	O	17	0.00000	98	0.00000	26	0.00000	28	0.00000	6	0.00000	6	0.00000	18	0.00000	27	0.00000	46	0.00000	14	0.00000	20	0.00000
Burkholderiales	80840	O	24848	0.00101	125257	0.00578	49892	0.00233	59711	0.00175	13779	0.00157	9680	0.00114	23179	0.00113	18141	0.00122	45164	0.00305	29042	0.00224	22746	0.00224
Neisseriales	206351	O	4547	0.00018	19437	0.00090	6330	0.00030	10111	0.00030	2332	0.00027	1823	0.00021	4617	0.00023	3357	0.00023	7408	0.00050	4735	0.00037	3213	0.00032
Nitrosomonadales	32003	O	2626	0.00011	9986	0.00046	3305	0.00015	4323	0.00013	940	0.00011	1074	0.00013	2652	0.00013	2191	0.00015	3377	0.00023	2501	0.00019	1678	0.00017
Rhodocyclales	206389	O	1671	0.00007	9955	0.00046	3239	0.00015	4309	0.00013	1168	0.00013	886	0.00010	2076	0.00010	1319	0.00009	3599	0.00024	2315	0.00018	1630	0.00016
Bdellovibrionales	213481	O	922	0.00004	1082	0.00005	453	0.00002	947	0.00003	220	0.00003	210	0.00002	530	0.00003	422	0.00003	469	0.00003	400	0.00003	242	0.00002
Bacteriovoracales	2024979	O	331	0.00001	477	0.00002	153	0.00001	375	0.00001	100	0.00001	175	0.00002	421	0.00002	407	0.00003	311	0.00002	225	0.00002	171	0.00002
Silvanigrellales	2024973	O	27	0.00000	111	0.00001	42	0.00000	53	0.00000	7	0.00000	32	0.00000	57	0.00000	18	0.00000	61	0.00000	64	0.00000	26	0.00000
Acidithiobacillales	225057	O	293	0.00001	1430	0.00007	416	0.00002	677	0.00002	144	0.00002	109	0.00001	281	0.00001	123	0.00001	428	0.00003	218	0.00002	215	0.00002
Mariprofundales	580371	O	186	0.00001	686	0.00003	177	0.00001	366	0.00001	150	0.00002	59	0.00001	166	0.00001	353	0.00002	287	0.00002	155	0.00001	122	0.00001
Hydrogenophilales	119069	O	19	0.00000	976	0.00005	59	0.00000	28	0.00000	8	0.00000	23	0.00000	53	0.00000	19	0.00000	54	0.00000	18	0.00000	26	0.00000
Fusobacteriales	203491	O	10985	0.00045	11706	0.00054	4370	0.00020	11612	0.00034	3665	0.00042	3769	0.00044	9279	0.00045	8076	0.00054	7410	0.00050	6384	0.00049	4010	0.00040
Spirochaetales	136	O	7104	0.00029	17920	0.00083	5994	0.00028	11250	0.00033	3024	0.00034	2886	0.00034	7080	0.00035	6781	0.00046	8147	0.00055	6418	0.00050	3755	0.00037
Brachyspirales	1643686	O	2141	0.00009	3247	0.00015	630	0.00003	1854	0.00005	529	0.00006	571	0.00007	1387	0.00007	1266	0.00009	1074	0.00007	906	0.00007	706	0.00007
Leptospirales	1643688	O	1226	0.00005	1240	0.00006	520	0.00002	1155	0.00003	229	0.00003	290	0.00003	711	0.00003	739	0.00005	784	0.00005	673	0.00005	342	0.00003
Verrucomicrobiales	48461	O	2861	0.00012	63926	0.00295	3672	0.00017	4539	0.00013	78108	0.00890	7015	0.00083	16681	0.00081	54496	0.00367	8911	0.00060	506994	0.03918	210399	0.02073
Opitutales	415000	O	479	0.00002	3667	0.00017	916	0.00004	1165	0.00003	396	0.00005	203	0.00002	507	0.00002	374	0.00003	944	0.00006	655	0.00005	434	0.00004
Puniceicoccales	415001	O	39	0.00000	486	0.00002	105	0.00000	71	0.00000	19	0.00000	13	0.00000	41	0.00000	49	0.00000	61	0.00000	43	0.00000	60	0.00001
Methylacidiphilales	717963	O	89	0.00000	289	0.00001	62	0.00000	36	0.00000	48	0.00001	45	0.00001	100	0.00000	171	0.00001	105	0.00001	78	0.00001	73	0.00001
Pirellulales	2691354	O	833	0.00003	2676	0.00012	535	0.00002	975	0.00003	293	0.00003	264	0.00003	583	0.00003	380	0.00003	597	0.00004	499	0.00004	367	0.00004
Planctomycetales	112	O	766	0.00003	3484	0.00016	1196	0.00006	1830	0.00005	457	0.00005	383	0.00005	882	0.00004	589	0.00004	1375	0.00009	962	0.00007	582	0.00006
Gemmatales	2691355	O	419	0.00002	2559	0.00012	853	0.00004	775	0.00002	182	0.00002	165	0.00002	376	0.00002	211	0.00001	545	0.00004	479	0.00004	331	0.00003
Isosphaerales	2691356	O	283	0.00001	1976	0.00009	611	0.00003	506	0.00001	166	0.00002	165	0.00002	397	0.00002	235	0.00002	552	0.00004	419	0.00003	242	0.00002
Sedimentisphaerales	2483366	O	472	0.00002	1662	0.00008	405	0.00002	925	0.00003	241	0.00003	198	0.00002	514	0.00003	330	0.00002	558	0.00004	420	0.00003	384	0.00004
Phycisphaerales	666506	O	44	0.00000	594	0.00003	152	0.00001	168	0.00000	31	0.00000	31	0.00000	66	0.00000	34	0.00000	173	0.00001	157	0.00001	78	0.00001
Candidatus Brocadiales	1127829	O	60	0.00000	206	0.00001	50	0.00000	88	0.00000	27	0.00000	39	0.00000	78	0.00000	101	0.00001	50	0.00000	142	0.00001	36	0.00000
Parachlamydiales	1963360	O	222	0.00001	552	0.00003	187	0.00001	330	0.00001	82	0.00001	205	0.00002	291	0.00001	200	0.00001	344	0.00002	163	0.00001	116	0.00001
Chlamydiales	51291	O	247	0.00001	488	0.00002	158	0.00001	451	0.00001	75	0.00001	119	0.00001	512	0.00002	215	0.00001	217	0.00001	278	0.00002	128	0.00001
Kiritimatiellales	1921782	O	45	0.00000	1307	0.00006	303	0.00001	317	0.00001	95	0.00001	13	0.00000	86	0.00000	184	0.00001	197	0.00001	228	0.00002	132	0.00001
Thermotogales	2419	O	1602	0.00006	2359	0.00011	749	0.00003	1890	0.00006	538	0.00006	645	0.00008	1644	0.00008	1062	0.00007	1382	0.00009	1020	0.00008	613	0.00006
Petrotogales	1643947	O	517	0.00002	1316	0.00006	263	0.00001	732	0.00002	136	0.00002	166	0.00002	441	0.00002	458	0.00003	423	0.00003	445	0.00003	318	0.00003
Kosmotogales	1643946	O	394	0.00002	629	0.00003	228	0.00001	531	0.00002	200	0.00002	210	0.00002	600	0.00003	429	0.00003	352	0.00002	261	0.00002	192	0.00002
Mesoaciditogales	1769716	O	113	0.00000	112	0.00001	53	0.00000	54	0.00000	34	0.00000	23	0.00000	63	0.00000	56	0.00000	45	0.00000	31	0.00000	16	0.00000
Acidobacteriales	204433	O	1298	0.00005	5696	0.00026	1752	0.00008	2746	0.00008	722	0.00008	580	0.00007	1427	0.00007	1187	0.00008	2087	0.00014	1452	0.00011	860	0.00008
Bryobacterales	332160	O	606	0.00002	2745	0.00013	1192	0.00006	1344	0.00004	302	0.00003	221	0.00003	520	0.00003	453	0.00003	957	0.00006	636	0.00005	427	0.00004
Synergistales	649776	O	1292	0.00005	55772	0.00257	1751	0.00008	1952	0.00006	734	0.00008	683	0.00008	1643	0.00008	931	0.00006	1847	0.00012	2101	0.00016	1086	0.00011
Aquificales	32069	O	608	0.00002	1290	0.00006	341	0.00002	684	0.00002	149	0.00002	243	0.00003	588	0.00003	585	0.00004	556	0.00004	752	0.00006	305	0.00003
Desulfurobacteriales	1485951	O	263	0.00001	423	0.00002	102	0.00000	365	0.00001	71	0.00001	98	0.00001	185	0.00001	206	0.00001	113	0.00001	395	0.00003	99	0.00001
Deferribacterales	191393	O	792	0.00003	1642	0.00008	450	0.00002	1158	0.00003	335	0.00004	432	0.00005	1087	0.00005	800	0.00005	734	0.00005	674	0.00005	523	0.00005
Nitrospirales	189778	O	701	0.00003	2493	0.00012	642	0.00003	1162	0.00003	383	0.00004	239	0.00003	499	0.00002	731	0.00005	807	0.00005	907	0.00007	436	0.00004
