name	taxonomy_id	taxonomy_lvl	14_class.bracken_num	14_class.bracken_frac	17_class.bracken_num	17_class.bracken_frac	19_class.bracken_num	19_class.bracken_frac	20_class.bracken_num	20_class.bracken_frac	2126_class.bracken_num	2126_class.bracken_frac	22a_class.bracken_num	22a_class.bracken_frac	22b_class.bracken_num	22b_class.bracken_frac	25_class.bracken_num	25_class.bracken_frac	2621_class.bracken_num	2621_class.bracken_frac	27_class.bracken_num	27_class.bracken_frac	Stan_class.bracken_num	Stan_class.bracken_frac
Methylacidiphilae	1955630	C	45	0.00000	174	0.00001	44	0.00000	36	0.00000	40	0.00000	26	0.00000	65	0.00000	127	0.00001	53	0.00000	60	0.00000	52	0.00001
Spartobacteria	134549	C	44	0.00000	114	0.00001	18	0.00000	44	0.00000	7	0.00000	19	0.00000	35	0.00000	43	0.00000	52	0.00000	18	0.00000	20	0.00000
Planctomycetia	203683	C	2303	0.00009	10697	0.00049	3196	0.00015	4088	0.00012	1100	0.00013	979	0.00012	2240	0.00011	1416	0.00010	3071	0.00021	2361	0.00018	1523	0.00015
Phycisphaerae	666505	C	516	0.00002	2256	0.00010	558	0.00003	1094	0.00003	272	0.00003	229	0.00003	580	0.00003	365	0.00002	731	0.00005	577	0.00004	462	0.00005
Candidatus Brocadiae	2517206	C	60	0.00000	206	0.00001	50	0.00000	88	0.00000	27	0.00000	39	0.00000	78	0.00000	101	0.00001	50	0.00000	142	0.00001	36	0.00000
Chlamydiia	204429	C	469	0.00002	1040	0.00005	345	0.00002	781	0.00002	157	0.00002	324	0.00004	803	0.00004	415	0.00003	561	0.00004	441	0.00003	244	0.00002
Kiritimatiellae	1921781	C	45	0.00000	1307	0.00006	303	0.00001	317	0.00001	95	0.00001	13	0.00000	86	0.00000	184	0.00001	197	0.00001	228	0.00002	132	0.00001
Thermotogae	188708	C	2628	0.00011	4417	0.00020	1293	0.00006	3208	0.00009	909	0.00010	1045	0.00012	2749	0.00013	2006	0.00014	2202	0.00015	1758	0.00014	1141	0.00011
Acidobacteriia	204432	C	1594	0.00006	7324	0.00034	2424	0.00011	3587	0.00011	904	0.00010	696	0.00008	1693	0.00008	1516	0.00010	2544	0.00017	1855	0.00014	1079	0.00011
Vicinamibacteria	1813735	C	165	0.00001	657	0.00003	348	0.00002	334	0.00001	62	0.00001	49	0.00001	112	0.00001	76	0.00001	275	0.00002	122	0.00001	119	0.00001
Blastocatellia	1562566	C	145	0.00001	459	0.00002	171	0.00001	168	0.00000	58	0.00001	55	0.00001	141	0.00001	48	0.00000	223	0.00002	110	0.00001	88	0.00001
Synergistia	649775	C	1292	0.00005	55772	0.00257	1751	0.00008	1952	0.00006	734	0.00008	683	0.00008	1643	0.00008	931	0.00006	1847	0.00012	2101	0.00016	1086	0.00011
Aquificae	187857	C	871	0.00004	1713	0.00008	443	0.00002	1050	0.00003	220	0.00003	342	0.00004	773	0.00004	791	0.00005	669	0.00005	1148	0.00009	404	0.00004
Deferribacteres	68337	C	792	0.00003	1642	0.00008	450	0.00002	1158	0.00003	335	0.00004	432	0.00005	1087	0.00005	800	0.00005	734	0.00005	674	0.00005	523	0.00005
