name	taxonomy_id	taxonomy_lvl	14_genus.bracken_num	14_genus.bracken_frac	17_genus.bracken_num	17_genus.bracken_frac	19_genus.bracken_num	19_genus.bracken_frac	20_genus.bracken_num	20_genus.bracken_frac	2126_genus.bracken_num	2126_genus.bracken_frac	22a_genus.bracken_num	22a_genus.bracken_frac	22b_genus.bracken_num	22b_genus.bracken_frac	25_genus.bracken_num	25_genus.bracken_frac	2621_genus.bracken_num	2621_genus.bracken_frac	27_genus.bracken_num	27_genus.bracken_frac	Stan_genus.bracken_num	Stan_genus.bracken_frac
Mogibacterium	86331	G	3188	0.00013	4277	0.00020	1607	0.00007	3625	0.00011	1022	0.00012	1145	0.00013	2691	0.00013	3621	0.00024	2514	0.00017	2071	0.00016	943	0.00009
Thermaerobacter	73918	G	425	0.00002	4432	0.00020	1036	0.00005	1366	0.00004	362	0.00004	215	0.00003	444	0.00002	276	0.00002	1156	0.00008	629	0.00005	436	0.00004
Carboxydocella	178898	G	202	0.00001	919	0.00004	255	0.00001	374	0.00001	108	0.00001	61	0.00001	145	0.00001	308	0.00002	231	0.00002	196	0.00002	161	0.00002
Clostridioides	1870884	G	333942	0.01354	276271	0.01275	99954	0.00466	216413	0.00634	80039	0.00912	69570	0.00819	171636	0.00838	151477	0.01019	173850	0.01174	84701	0.00655	82814	0.00816
Romboutsia	1501226	G	8484	0.00034	11796	0.00054	45468	0.00212	108775	0.00319	36948	0.00421	6155	0.00072	16750	0.00082	52792	0.00355	30354	0.00205	25188	0.00195	9971	0.00098
Peptacetobacter	2743582	G	1488	0.00006	1366	0.00006	785	0.00004	2026	0.00006	1035	0.00012	548	0.00006	1275	0.00006	1109	0.00007	1255	0.00008	898	0.00007	560	0.00006
Peptoclostridium	1481960	G	1215	0.00005	2168	0.00010	518	0.00002	921	0.00003	584	0.00007	556	0.00007	1356	0.00007	1455	0.00010	774	0.00005	977	0.00008	362	0.00004
Filifactor	44259	G	630	0.00003	1366	0.00006	431	0.00002	771	0.00002	458	0.00005	2112	0.00025	5735	0.00028	1855	0.00012	998	0.00007	611	0.00005	351	0.00003
Acetoanaerobium	186831	G	571	0.00002	1029	0.00005	278	0.00001	770	0.00002	177	0.00002	210	0.00002	545	0.00003	385	0.00003	429	0.00003	446	0.00003	207	0.00002
Paraclostridium	1849822	G	553	0.00002	943	0.00004	509	0.00002	1556	0.00005	964	0.00011	254	0.00003	608	0.00003	897	0.00006	864	0.00006	925	0.00007	404	0.00004
Paeniclostridium	1849828	G	478	0.00002	1092	0.00005	548	0.00003	1724	0.00005	1014	0.00012	229	0.00003	655	0.00003	757	0.00005	4568	0.00031	630	0.00005	503	0.00005
Oscillibacter	459786	G	89451	0.00363	379418	0.01751	170258	0.00794	119845	0.00351	44605	0.00508	28028	0.00330	64706	0.00316	130981	0.00882	104709	0.00707	102354	0.00791	63580	0.00626
Dysosmobacter	2591381	G	81531	0.00330	390589	0.01803	149231	0.00696	93038	0.00273	54396	0.00620	25629	0.00302	60815	0.00297	127097	0.00855	131561	0.00888	125594	0.00971	78712	0.00776
Clostridium	1485	G	91943	0.00373	123496	0.00570	53877	0.00251	182701	0.00535	44139	0.00503	45270	0.00533	113439	0.00554	94237	0.00634	81465	0.00550	57149	0.00442	38897	0.00383
Hungatella	1649459	G	17058	0.00069	17935	0.00083	12448	0.00058	23431	0.00069	5922	0.00068	6538	0.00077	15578	0.00076	14404	0.00097	13757	0.00093	7048	0.00054	6208	0.00061
Butyricicoccus	580596	G	2553	0.00010	697	0.00003	1666	0.00008	1243	0.00004	88	0.00001	2411	0.00028	6241	0.00030	1042	0.00007	1457	0.00010	461	0.00004	434	0.00004
Alkaliphilus	114627	G	1579	0.00006	2564	0.00012	991	0.00005	1874	0.00005	539	0.00006	531	0.00006	1210	0.00006	1371	0.00009	1078	0.00007	894	0.00007	594	0.00006
Geosporobacter	390805	G	1127	0.00005	2104	0.00010	726	0.00003	1693	0.00005	437	0.00005	432	0.00005	1057	0.00005	937	0.00006	1060	0.00007	1007	0.00008	588	0.00006
Caloramator	44258	G	878	0.00004	1638	0.00008	401	0.00002	1313	0.00004	342	0.00004	332	0.00004	802	0.00004	641	0.00004	637	0.00004	914	0.00007	415	0.00004
Crassaminicella	1848399	G	908	0.00004	1828	0.00008	417	0.00002	1015	0.00003	303	0.00003	314	0.00004	777	0.00004	753	0.00005	792	0.00005	552	0.00004	451	0.00004
Hathewaya	1769729	G	885	0.00004	1734	0.00008	410	0.00002	1236	0.00004	352	0.00004	274	0.00003	693	0.00003	715	0.00005	647	0.00004	458	0.00004	457	0.00005
Candidatus Arthromitus	49082	G	566	0.00002	1544	0.00007	494	0.00002	1345	0.00004	251	0.00003	200	0.00002	489	0.00002	298	0.00002	795	0.00005	615	0.00005	360	0.00004
Caloranaerobacter	171003	G	504	0.00002	1588	0.00007	286	0.00001	581	0.00002	258	0.00003	247	0.00003	506	0.00002	271	0.00002	405	0.00003	284	0.00002	287	0.00003
Eubacterium	1730	G	98915	0.00401	119155	0.00550	73914	0.00345	94223	0.00276	29940	0.00341	32751	0.00386	80113	0.00391	150111	0.01010	110686	0.00747	36701	0.00284	49559	0.00488
Acetobacterium	33951	G	20286	0.00082	2699	0.00012	998	0.00005	2141	0.00006	14534	0.00166	670	0.00008	1688	0.00008	1177	0.00008	1464	0.00010	1106	0.00009	754	0.00007
Christensenella	990721	G	17912	0.00073	83087	0.00383	44640	0.00208	42037	0.00123	34884	0.00398	10492	0.00124	26169	0.00128	47216	0.00318	53407	0.00361	32167	0.00249	28474	0.00281
Mageeibacillus	1637257	G	5793	0.00023	4914	0.00023	2471	0.00012	2584	0.00008	1943	0.00022	496	0.00006	1268	0.00006	1787	0.00012	2268	0.00015	1414	0.00011	1212	0.00012
Hungateiclostridium	2304692	G	4088	0.00017	7396	0.00034	2076	0.00010	4657	0.00014	1558	0.00018	1689	0.00020	4185	0.00020	3281	0.00022	3116	0.00021	3855	0.00030	1967	0.00019
Ruminiclostridium	1508657	G	3644	0.00015	4546	0.00021	2123	0.00010	3694	0.00011	1240	0.00014	1698	0.00020	4051	0.00020	3344	0.00023	2836	0.00019	3154	0.00024	1570	0.00015
Pseudoclostridium	2304693	G	1603	0.00006	3437	0.00016	1168	0.00005	1739	0.00005	704	0.00008	673	0.00008	1769	0.00009	1431	0.00010	1389	0.00009	1218	0.00009	827	0.00008
Thermoclostridium	2304691	G	1209	0.00005	2989	0.00014	827	0.00004	1101	0.00003	538	0.00006	471	0.00006	1112	0.00005	10402	0.00070	1075	0.00007	1221	0.00009	546	0.00005
Fastidiosipila	236752	G	704	0.00003	22539	0.00104	457	0.00002	571	0.00002	192	0.00002	249	0.00003	610	0.00003	1733	0.00012	830	0.00006	617	0.00005	257	0.00003
Desulfosporosinus	79206	G	2131	0.00009	3481	0.00016	1224	0.00006	2369	0.00007	938	0.00011	993	0.00012	2251	0.00011	1640	0.00011	1933	0.00013	1311	0.00010	864	0.00009
