name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Colwelliaceae	267889	F	881	0.00004	1026	0.00005	398	0.00002	747	0.00002	176	0.00002	216	0.00003	536	0.00003	496	0.00003	492	0.00003	586	0.00005	250	0.00002
Moritellaceae	267891	F	370	0.00001	279	0.00001	81	0.00000	203	0.00001	53	0.00001	29	0.00000	60	0.00000	116	0.00001	159	0.00001	116	0.00001	51	0.00001
Idiomarinaceae	267893	F	263	0.00001	438	0.00002	177	0.00001	370	0.00001	100	0.00001	54	0.00001	144	0.00001	178	0.00001	217	0.00001	251	0.00002	116	0.00001
Psychromonadaceae	267894	F	119	0.00000	164	0.00001	101	0.00000	312	0.00001	58	0.00001	36	0.00000	129	0.00001	95	0.00001	164	0.00001	122	0.00001	74	0.00001
Ferrimonadaceae	267892	F	113	0.00000	588	0.00003	182	0.00001	146	0.00000	42	0.00000	38	0.00000	117	0.00001	78	0.00001	220	0.00001	251	0.00002	136	0.00001
Vibrionaceae	641	F	6383	0.00026	10030	0.00046	4668	0.00022	9471	0.00028	2522	0.00029	2854	0.00034	6952	0.00034	5890	0.00040	5999	0.00041	4769	0.00037	3329	0.00033
Halomonadaceae	28256	F	2505	0.00010	11926	0.00055	4304	0.00020	5756	0.00017	1306	0.00015	1156	0.00014	2856	0.00014	2571	0.00017	4718	0.00032	3267	0.00025	1833	0.00018
Oceanospirillaceae	135620	F	1339	0.00005	2199	0.00010	744	0.00003	1403	0.00004	456	0.00005	496	0.00006	1224	0.00006	1038	0.00007	1147	0.00008	1028	0.00008	529	0.00005
Alcanivoracaceae	224372	F	383	0.00002	1767	0.00008	661	0.00003	840	0.00002	199	0.00002	126	0.00001	367	0.00002	403	0.00003	756	0.00005	378	0.00003	301	0.00003
Hahellaceae	224379	F	309	0.00001	862	0.00004	347	0.00002	407	0.00001	105	0.00001	127	0.00001	298	0.00001	223	0.00002	313	0.00002	167	0.00001	138	0.00001
Saccharospirillaceae	255527	F	234	0.00001	624	0.00003	334	0.00002	417	0.00001	159	0.00002	79	0.00001	191	0.00001	164	0.00001	357	0.00002	157	0.00001	119	0.00001
Kangiellaceae	1920240	F	208	0.00001	744	0.00003	289	0.00001	405	0.00001	124	0.00001	119	0.00001	313	0.00002	124	0.00001	218	0.00001	268	0.00002	111	0.00001
