name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Candidatus Deianiraeaceae	2603433	F	152	0.00001	2660	0.00012	42	0.00000	251	0.00001	43	0.00000	24	0.00000	129	0.00001	47	0.00000	986	0.00007	118	0.00001	456	0.00004
Candidatus Midichloriaceae	1328881	F	117	0.00000	533	0.00002	792	0.00004	982	0.00003	326	0.00004	7	0.00000	34	0.00000	42	0.00000	56	0.00000	800	0.00006	36	0.00000
Caulobacteraceae	76892	F	1731	0.00007	9374	0.00043	3023	0.00014	4209	0.00012	986	0.00011	750	0.00009	1862	0.00009	1317	0.00009	3217	0.00022	2228	0.00017	1324	0.00013
Pelagibacteraceae	1655514	F	384	0.00002	688	0.00003	151	0.00001	319	0.00001	86	0.00001	109	0.00001	290	0.00001	166	0.00001	298	0.00002	291	0.00002	163	0.00002
Holosporaceae	44746	F	132	0.00001	298	0.00001	77	0.00000	164	0.00000	57	0.00001	44	0.00001	113	0.00001	71	0.00000	140	0.00001	98	0.00001	67	0.00001
Caedimonadaceae	2100208	F	16	0.00000	65	0.00000	8	0.00000	122	0.00000	6	0.00000	13	0.00000	22	0.00000	67	0.00000	100	0.00001	19	0.00000	17	0.00000
Candidatus Paracaedibacteraceae	1777752	F	14	0.00000	86	0.00000	9	0.00000	14	0.00000	9	0.00000	1	0.00000	17	0.00000	5	0.00000	38	0.00000	8	0.00000	21	0.00000
Kordiimonadaceae	1331809	F	64	0.00000	91	0.00000	56	0.00000	39	0.00000	40	0.00000	17	0.00000	42	0.00000	165	0.00001	58	0.00000	38	0.00000	34	0.00000
Emcibacteraceae	2066491	F	55	0.00000	749	0.00003	258	0.00001	159	0.00000	92	0.00001	110	0.00001	231	0.00001	70	0.00000	185	0.00001	213	0.00002	125	0.00001
Magnetococcaceae	1191479	F	43	0.00000	348	0.00002	65	0.00000	126	0.00000	33	0.00000	18	0.00000	29	0.00000	111	0.00001	134	0.00001	94	0.00001	49	0.00000
Parvularculaceae	255474	F	17	0.00000	98	0.00000	26	0.00000	28	0.00000	6	0.00000	6	0.00000	18	0.00000	27	0.00000	46	0.00000	14	0.00000	20	0.00000
Burkholderiaceae	119060	F	9862	0.00040	43275	0.00200	14353	0.00067	22404	0.00066	5074	0.00058	3622	0.00043	8774	0.00043	7253	0.00049	15791	0.00107	10565	0.00082	7965	0.00078
Comamonadaceae	80864	F	5256	0.00021	34799	0.00161	10152	0.00047	15773	0.00046	3707	0.00042	2392	0.00028	5476	0.00027	3723	0.00025	12254	0.00083	7912	0.00061	5059	0.00050
Alcaligenaceae	506	F	4357	0.00018	26279	0.00121	9027	0.00042	10434	0.00031	2454	0.00028	1640	0.00019	3843	0.00019	3847	0.00026	7322	0.00049	5630	0.00044	3260	0.00032
Oxalobacteraceae	75682	F	3687	0.00015	18921	0.00087	15235	0.00071	9491	0.00028	2443	0.00028	1769	0.00021	4416	0.00022	2985	0.00020	7842	0.00053	3899	0.00030	3519	0.00035
Sutterellaceae	995019	F	1685	0.00007	1980	0.00009	1124	0.00005	1608	0.00005	99	0.00001	255	0.00003	668	0.00003	331	0.00002	1950	0.00013	1035	0.00008	2940	0.00029
Neisseriaceae	481	F	2379	0.00010	11432	0.00053	3151	0.00015	5277	0.00015	1239	0.00014	1054	0.00012	2706	0.00013	1977	0.00013	3730	0.00025	2679	0.00021	1768	0.00017
Chromobacteriaceae	1499392	F	2167	0.00009	8005	0.00037	3178	0.00015	4834	0.00014	1092	0.00012	768	0.00009	1911	0.00009	1380	0.00009	3677	0.00025	2055	0.00016	1445	0.00014
Nitrosomonadaceae	206379	F	705	0.00003	2189	0.00010	506	0.00002	894	0.00003	220	0.00003	262	0.00003	616	0.00003	695	0.00005	574	0.00004	723	0.00006	386	0.00004
Methylophilaceae	32011	F	686	0.00003	1262	0.00006	536	0.00002	1032	0.00003	185	0.00002	249	0.00003	640	0.00003	619	0.00004	749	0.00005	587	0.00005	386	0.00004
Gallionellaceae	90627	F	356	0.00001	1765	0.00008	341	0.00002	507	0.00001	140	0.00002	157	0.00002	319	0.00002	213	0.00001	428	0.00003	259	0.00002	207	0.00002
Sulfuricellaceae	2772226	F	321	0.00001	1357	0.00006	438	0.00002	677	0.00002	144	0.00002	146	0.00002	399	0.00002	268	0.00002	591	0.00004	306	0.00002	269	0.00003
Sterolibacteriaceae	2008793	F	339	0.00001	1925	0.00009	854	0.00004	895	0.00003	158	0.00002	218	0.00003	568	0.00003	247	0.00002	687	0.00005	430	0.00003	276	0.00003
Thiobacillaceae	2008790	F	216	0.00001	1109	0.00005	377	0.00002	316	0.00001	90	0.00001	39	0.00000	107	0.00001	147	0.00001	345	0.00002	194	0.00001	151	0.00001
Zoogloeaceae	2008794	F	1127	0.00005	7703	0.00036	2657	0.00012	3111	0.00009	782	0.00009	608	0.00007	1455	0.00007	763	0.00005	2512	0.00017	1617	0.00012	1021	0.00010
Rhodocyclaceae	75787	F	201	0.00001	1756	0.00008	447	0.00002	465	0.00001	182	0.00002	120	0.00001	241	0.00001	254	0.00002	477	0.00003	435	0.00003	247	0.00002
Azonexaceae	2008795	F	214	0.00001	495	0.00002	134	0.00001	453	0.00001	170	0.00002	137	0.00002	349	0.00002	224	0.00002	370	0.00002	205	0.00002	264	0.00003
Casimicrobiaceae	2705999	F	128	0.00001	376	0.00002	251	0.00001	279	0.00001	33	0.00000	20	0.00000	30	0.00000	76	0.00001	238	0.00002	57	0.00000	95	0.00001
Bdellovibrionaceae	213483	F	922	0.00004	1082	0.00005	453	0.00002	947	0.00003	220	0.00003	210	0.00002	530	0.00003	422	0.00003	469	0.00003	400	0.00003	242	0.00002
Halobacteriovoraceae	1652132	F	236	0.00001	335	0.00002	104	0.00000	213	0.00001	66	0.00001	119	0.00001	296	0.00001	193	0.00001	206	0.00001	168	0.00001	93	0.00001
Bacteriovoracaceae	263369	F	94	0.00000	142	0.00001	49	0.00000	161	0.00000	34	0.00000	56	0.00001	125	0.00001	214	0.00001	104	0.00001	56	0.00000	78	0.00001
Silvanigrellaceae	2024974	F	27	0.00000	111	0.00001	42	0.00000	53	0.00000	7	0.00000	32	0.00000	57	0.00000	18	0.00000	61	0.00000	64	0.00000	26	0.00000
Acidithiobacillaceae	225058	F	293	0.00001	1430	0.00007	416	0.00002	677	0.00002	144	0.00002	109	0.00001	281	0.00001	123	0.00001	428	0.00003	218	0.00002	215	0.00002
Mariprofundaceae	580372	F	186	0.00001	686	0.00003	177	0.00001	366	0.00001	150	0.00002	59	0.00001	166	0.00001	353	0.00002	287	0.00002	155	0.00001	122	0.00001
Hydrogenophilaceae	206349	F	19	0.00000	976	0.00005	59	0.00000	28	0.00000	8	0.00000	23	0.00000	53	0.00000	19	0.00000	54	0.00000	18	0.00000	26	0.00000
Fusobacteriaceae	203492	F	6161	0.00025	7008	0.00032	2550	0.00012	6760	0.00020	1988	0.00023	2080	0.00024	5261	0.00026	4855	0.00033	4174	0.00028	3472	0.00027	2421	0.00024
Leptotrichiaceae	1129771	F	4823	0.00020	4697	0.00022	1819	0.00008	4852	0.00014	1677	0.00019	1688	0.00020	4018	0.00020	3221	0.00022	3235	0.00022	2912	0.00023	1589	0.00016
Spirochaetaceae	137	F	6703	0.00027	16744	0.00077	5692	0.00027	10575	0.00031	2836	0.00032	2631	0.00031	6505	0.00032	6091	0.00041	7686	0.00052	5908	0.00046	3495	0.00034
Borreliaceae	1643685	F	401	0.00002	1176	0.00005	302	0.00001	674	0.00002	188	0.00002	255	0.00003	574	0.00003	689	0.00005	461	0.00003	510	0.00004	260	0.00003
Brachyspiraceae	143786	F	2141	0.00009	3247	0.00015	630	0.00003	1854	0.00005	529	0.00006	571	0.00007	1387	0.00007	1266	0.00009	1074	0.00007	906	0.00007	706	0.00007
Leptospiraceae	170	F	1226	0.00005	1240	0.00006	520	0.00002	1155	0.00003	229	0.00003	290	0.00003	711	0.00003	739	0.00005	784	0.00005	673	0.00005	342	0.00003
Akkermansiaceae	1647988	F	2488	0.00010	61374	0.00283	3057	0.00014	4033	0.00012	77791	0.00887	6806	0.00080	16209	0.00079	53919	0.00363	8359	0.00056	506452	0.03914	210044	0.02070
Verrucomicrobiaceae	203557	F	373	0.00002	2552	0.00012	614	0.00003	505	0.00001	317	0.00004	209	0.00002	471	0.00002	577	0.00004	551	0.00004	541	0.00004	355	0.00003
Opitutaceae	134623	F	479	0.00002	3667	0.00017	916	0.00004	1165	0.00003	396	0.00005	203	0.00002	507	0.00002	374	0.00003	944	0.00006	655	0.00005	434	0.00004
Puniceicoccaceae	415002	F	39	0.00000	486	0.00002	105	0.00000	71	0.00000	19	0.00000	13	0.00000	41	0.00000	49	0.00000	61	0.00000	43	0.00000	60	0.00001
Methylacidiphilaceae	717964	F	89	0.00000	289	0.00001	62	0.00000	36	0.00000	48	0.00001	45	0.00001	100	0.00000	171	0.00001	105	0.00001	78	0.00001	73	0.00001
Pirellulaceae	2691357	F	455	0.00002	1330	0.00006	283	0.00001	599	0.00002	146	0.00002	111	0.00001	255	0.00001	258	0.00002	309	0.00002	325	0.00003	177	0.00002
Thermoguttaceae	2691358	F	298	0.00001	594	0.00003	110	0.00001	227	0.00001	95	0.00001	86	0.00001	217	0.00001	30	0.00000	120	0.00001	81	0.00001	53	0.00001
Lacipirellulaceae	2691359	F	79	0.00000	751	0.00003	142	0.00001	149	0.00000	52	0.00001	67	0.00001	110	0.00001	91	0.00001	167	0.00001	92	0.00001	136	0.00001
Planctomycetaceae	126	F	766	0.00003	3484	0.00016	1196	0.00006	1830	0.00005	457	0.00005	383	0.00005	882	0.00004	589	0.00004	1375	0.00009	962	0.00007	582	0.00006
Gemmataceae	1914233	F	419	0.00002	2559	0.00012	853	0.00004	775	0.00002	182	0.00002	165	0.00002	376	0.00002	211	0.00001	545	0.00004	479	0.00004	331	0.00003
Isosphaeraceae	1763524	F	283	0.00001	1976	0.00009	611	0.00003	506	0.00001	166	0.00002	165	0.00002	397	0.00002	235	0.00002	552	0.00004	419	0.00003	242	0.00002
Sedimentisphaeraceae	2483367	F	426	0.00002	1321	0.00006	273	0.00001	749	0.00002	152	0.00002	141	0.00002	371	0.00002	258	0.00002	414	0.00003	337	0.00003	258	0.00003
Anaerohalosphaeraceae	2690158	F	46	0.00000	341	0.00002	132	0.00001	176	0.00001	88	0.00001	57	0.00001	142	0.00001	72	0.00000	144	0.00001	83	0.00001	125	0.00001
Phycisphaeraceae	666507	F	44	0.00000	594	0.00003	152	0.00001	168	0.00000	31	0.00000	31	0.00000	66	0.00000	34	0.00000	173	0.00001	157	0.00001	78	0.00001
Candidatus Brocadiaceae	1127830	F	60	0.00000	206	0.00001	50	0.00000	88	0.00000	27	0.00000	39	0.00000	78	0.00000	101	0.00001	50	0.00000	142	0.00001	36	0.00000
Parachlamydiaceae	92713	F	119	0.00000	410	0.00002	75	0.00000	141	0.00000	44	0.00001	42	0.00000	116	0.00001	109	0.00001	89	0.00001	78	0.00001	47	0.00000
Waddliaceae	92714	F	61	0.00000	53	0.00000	76	0.00000	163	0.00000	11	0.00000	55	0.00001	143	0.00001	47	0.00000	43	0.00000	51	0.00000	48	0.00000
Simkaniaceae	92712	F	32	0.00000	86	0.00000	36	0.00000	25	0.00000	27	0.00000	6	0.00000	31	0.00000	42	0.00000	212	0.00001	34	0.00000	20	0.00000
Criblamydiaceae	412447	F	9	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	102	0.00001	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Chlamydiaceae	809	F	247	0.00001	488	0.00002	158	0.00001	451	0.00001	75	0.00001	119	0.00001	512	0.00002	215	0.00001	217	0.00001	278	0.00002	128	0.00001
Kiritimatiellaceae	1921783	F	45	0.00000	1307	0.00006	303	0.00001	317	0.00001	95	0.00001	13	0.00000	86	0.00000	184	0.00001	197	0.00001	228	0.00002	132	0.00001
Thermotogaceae	188709	F	837	0.00003	1441	0.00007	452	0.00002	981	0.00003	288	0.00003	391	0.00005	926	0.00005	539	0.00004	780	0.00005	529	0.00004	312	0.00003
Fervidobacteriaceae	1643950	F	765	0.00003	917	0.00004	296	0.00001	909	0.00003	249	0.00003	254	0.00003	717	0.00003	522	0.00004	601	0.00004	491	0.00004	301	0.00003
Petrotogaceae	1643949	F	517	0.00002	1316	0.00006	263	0.00001	732	0.00002	136	0.00002	166	0.00002	441	0.00002	458	0.00003	423	0.00003	445	0.00003	318	0.00003
Kosmotogaceae	1643948	F	394	0.00002	629	0.00003	228	0.00001	531	0.00002	200	0.00002	210	0.00002	600	0.00003	429	0.00003	352	0.00002	261	0.00002	192	0.00002
Mesoaciditogaceae	1769717	F	113	0.00000	112	0.00001	53	0.00000	54	0.00000	34	0.00000	23	0.00000	63	0.00000	56	0.00000	45	0.00000	31	0.00000	16	0.00000
Acidobacteriaceae	204434	F	1298	0.00005	5696	0.00026	1752	0.00008	2746	0.00008	722	0.00008	580	0.00007	1427	0.00007	1187	0.00008	2087	0.00014	1452	0.00011	860	0.00008
Bryobacteraceae	1962910	F	150	0.00001	722	0.00003	371	0.00002	429	0.00001	91	0.00001	46	0.00001	265	0.00001	170	0.00001	207	0.00001	171	0.00001	118	0.00001
Solibacteraceae	332161	F	145	0.00001	906	0.00004	300	0.00001	412	0.00001	89	0.00001	69	0.00001	142	0.00001	158	0.00001	249	0.00002	231	0.00002	100	0.00001
Vicinamibacteraceae	2211325	F	311	0.00001	1116	0.00005	520	0.00002	502	0.00001	120	0.00001	105	0.00001	112	0.00001	125	0.00001	499	0.00003	233	0.00002	208	0.00002
Synergistaceae	649777	F	1292	0.00005	55772	0.00257	1751	0.00008	1952	0.00006	734	0.00008	683	0.00008	1643	0.00008	931	0.00006	1847	0.00012	2101	0.00016	1086	0.00011
Aquificaceae	64898	F	337	0.00001	655	0.00003	180	0.00001	359	0.00001	80	0.00001	126	0.00001	332	0.00002	357	0.00002	326	0.00002	428	0.00003	140	0.00001
Hydrogenothermaceae	224027	F	271	0.00001	635	0.00003	161	0.00001	325	0.00001	69	0.00001	117	0.00001	256	0.00001	228	0.00002	230	0.00002	324	0.00003	165	0.00002
Desulfurobacteriaceae	558314	F	263	0.00001	423	0.00002	102	0.00000	365	0.00001	71	0.00001	98	0.00001	185	0.00001	206	0.00001	113	0.00001	395	0.00003	99	0.00001
Deferribacteraceae	191394	F	792	0.00003	1642	0.00008	450	0.00002	1158	0.00003	335	0.00004	432	0.00005	1087	0.00005	800	0.00005	734	0.00005	674	0.00005	523	0.00005
Nitrospiraceae	189779	F	701	0.00003	2493	0.00012	642	0.00003	1162	0.00003	383	0.00004	239	0.00003	499	0.00002	731	0.00005	807	0.00005	907	0.00007	436	0.00004
Endomicrobiaceae	1783343	F	350	0.00001	378	0.00002	119	0.00001	411	0.00001	104	0.00001	120	0.00001	326	0.00002	237	0.00002	209	0.00001	267	0.00002	117	0.00001
Elusimicrobiaceae	641876	F	73	0.00000	230	0.00001	95	0.00000	222	0.00001	102	0.00001	62	0.00001	166	0.00001	46	0.00000	238	0.00002	128	0.00001	78	0.00001
Thermodesulfobacteriaceae	188711	F	421	0.00002	1076	0.00005	305	0.00001	615	0.00002	121	0.00001	139	0.00002	370	0.00002	322	0.00002	458	0.00003	278	0.00002	245	0.00002
Dictyoglomaceae	203488	F	263	0.00001	264	0.00001	113	0.00001	309	0.00001	78	0.00001	118	0.00001	296	0.00001	166	0.00001	144	0.00001	193	0.00001	93	0.00001
Candidatus Nanosynbacteraceae	2093822	F	205	0.00001	274	0.00001	234	0.00001	123	0.00000	77	0.00001	49	0.00001	71	0.00000	138	0.00001	131	0.00001	179	0.00001	114	0.00001
Candidatus Babeliaceae	2497645	F	46	0.00000	99	0.00000	17	0.00000	45	0.00000	3	0.00000	7	0.00000	17	0.00000	83	0.00001	16	0.00000	13	0.00000	14	0.00000
Candidatus Chazhemtobacteraceae	2715733	F	3	0.00000	3	0.00000	3	0.00000	2	0.00000	0	0.00000	7	0.00000	6	0.00000	6	0.00000	1	0.00000	1	0.00000	1	0.00000
Calditrichaceae	1962854	F	101	0.00000	399	0.00002	166	0.00001	178	0.00001	100	0.00001	65	0.00001	272	0.00001	151	0.00001	152	0.00001	106	0.00001	101	0.00001
Chrysiogenaceae	189770	F	70	0.00000	758	0.00003	120	0.00001	157	0.00000	53	0.00001	16	0.00000	37	0.00000	52	0.00000	158	0.00001	87	0.00001	84	0.00001
Caldisericaceae	693073	F	32	0.00000	183	0.00001	41	0.00000	67	0.00000	24	0.00000	9	0.00000	28	0.00000	64	0.00000	131	0.00001	38	0.00000	28	0.00000
Coprothermobacteraceae	2138247	F	81	0.00000	347	0.00002	30	0.00000	54	0.00000	21	0.00000	10	0.00000	34	0.00000	32	0.00000	69	0.00000	39	0.00000	12	0.00000
Hominidae	9604	F	24156	0.00098	31877	0.00147	13597	0.00063	31289	0.00092	8650	0.00099	7383	0.00087	19686	0.00096	16498	0.00111	18127	0.00122	15888	0.00123	10491	0.00103
Methanosarcinaceae	2206	F	2187	0.00009	2246	0.00010	1119	0.00005	2137	0.00006	810	0.00009	662	0.00008	1808	0.00009	1738	0.00012	1346	0.00009	946	0.00007	624	0.00006
Methanotrichaceae	143067	F	73	0.00000	262	0.00001	117	0.00001	130	0.00000	33	0.00000	36	0.00000	139	0.00001	39	0.00000	161	0.00001	101	0.00001	60	0.00001
Methanocorpusculaceae	88404	F	363	0.00001	182	0.00001	111	0.00001	457	0.00001	106	0.00001	64	0.00001	248	0.00001	212	0.00001	221	0.00001	95	0.00001	72	0.00001
Methanomicrobiaceae	2194	F	239	0.00001	730	0.00003	223	0.00001	472	0.00001	178	0.00002	87	0.00001	266	0.00001	119	0.00001	300	0.00002	212	0.00002	148	0.00001
Methanoregulaceae	1198451	F	145	0.00001	317	0.00001	152	0.00001	165	0.00000	63	0.00001	18	0.00000	51	0.00000	128	0.00001	94	0.00001	87	0.00001	75	0.00001
Methanospirillaceae	196137	F	50	0.00000	90	0.00000	42	0.00000	44	0.00000	11	0.00000	11	0.00000	24	0.00000	34	0.00000	29	0.00000	44	0.00000	22	0.00000
Methanocellaceae	570265	F	73	0.00000	803	0.00004	197	0.00001	117	0.00000	69	0.00001	24	0.00000	67	0.00000	47	0.00000	104	0.00001	77	0.00001	58	0.00001
Haloferacaceae	1644056	F	229	0.00001	1425	0.00007	556	0.00003	839	0.00002	175	0.00002	108	0.00001	268	0.00001	160	0.00001	437	0.00003	290	0.00002	196	0.00002
Halorubraceae	1963271	F	242	0.00001	1414	0.00007	636	0.00003	532	0.00002	174	0.00002	103	0.00001	301	0.00001	144	0.00001	564	0.00004	369	0.00003	204	0.00002
Haloarculaceae	1963268	F	225	0.00001	1612	0.00007	508	0.00002	635	0.00002	155	0.00002	92	0.00001	253	0.00001	159	0.00001	589	0.00004	314	0.00002	226	0.00002
Halobacteriaceae	2236	F	159	0.00001	1846	0.00009	519	0.00002	762	0.00002	242	0.00003	125	0.00001	395	0.00002	172	0.00001	599	0.00004	371	0.00003	217	0.00002
Natrialbaceae	1644061	F	181	0.00001	1590	0.00007	610	0.00003	655	0.00002	190	0.00002	113	0.00001	305	0.00001	158	0.00001	496	0.00003	311	0.00002	259	0.00003
Methanobacteriaceae	2159	F	1112	0.00005	1101333	0.05083	593	0.00003	1582	0.00005	473	0.00005	548	0.00006	1300	0.00006	1031	0.00007	784	0.00005	447288	0.03457	65889	0.00649
Methanothermaceae	2178	F	34	0.00000	33	0.00000	6	0.00000	10	0.00000	0	0.00000	0	0.00000	9	0.00000	9	0.00000	9	0.00000	12	0.00000	3	0.00000
Methanococcaceae	2183	F	403	0.00002	532	0.00002	252	0.00001	603	0.00002	185	0.00002	211	0.00002	566	0.00003	389	0.00003	434	0.00003	290	0.00002	212	0.00002
Methanocaldococcaceae	196117	F	226	0.00001	430	0.00002	84	0.00000	253	0.00001	117	0.00001	84	0.00001	159	0.00001	197	0.00001	198	0.00001	137	0.00001	99	0.00001
Thermococcaceae	2259	F	560	0.00002	1733	0.00008	730	0.00003	837	0.00002	202	0.00002	344	0.00004	781	0.00004	512	0.00003	743	0.00005	683	0.00005	359	0.00004
Candidatus Methanomethylophilaceae	2517203	F	140	0.00001	219	0.00001	88	0.00000	336	0.00001	76	0.00001	49	0.00001	95	0.00000	76	0.00001	214	0.00001	68	0.00001	64	0.00001
Methanomassiliicoccaceae	1577788	F	89	0.00000	34823	0.00161	73	0.00000	242	0.00001	82	0.00001	68	0.00001	149	0.00001	110	0.00001	88	0.00001	160	0.00001	323	0.00003
Picrophilaceae	46630	F	38	0.00000	57	0.00000	12	0.00000	43	0.00000	16	0.00000	2	0.00000	10	0.00000	63	0.00000	30	0.00000	72	0.00001	13	0.00000
Ferroplasmaceae	90142	F	12	0.00000	29	0.00000	26	0.00000	16	0.00000	0	0.00000	2	0.00000	13	0.00000	12	0.00000	32	0.00000	14	0.00000	9	0.00000
Cuniculiplasmataceae	1747776	F	12	0.00000	199	0.00001	8	0.00000	14	0.00000	0	0.00000	10	0.00000	22	0.00000	0	0.00000	10	0.00000	7	0.00000	15	0.00000
Thermoplasmataceae	46659	F	16	0.00000	63	0.00000	3	0.00000	38	0.00000	13	0.00000	3	0.00000	13	0.00000	6	0.00000	61	0.00000	27	0.00000	6	0.00000
Archaeoglobaceae	2232	F	307	0.00001	222	0.00001	121	0.00001	316	0.00001	43	0.00000	102	0.00001	252	0.00001	178	0.00001	245	0.00002	158	0.00001	72	0.00001
Methanopyraceae	183713	F	39	0.00000	52	0.00000	23	0.00000	19	0.00000	29	0.00000	12	0.00000	23	0.00000	64	0.00000	51	0.00000	7	0.00000	12	0.00000
Sulfolobaceae	118883	F	373	0.00002	430	0.00002	168	0.00001	586	0.00002	120	0.00001	153	0.00002	364	0.00002	304	0.00002	304	0.00002	242	0.00002	149	0.00001
Thermoproteaceae	2267	F	61	0.00000	213	0.00001	70	0.00000	79	0.00000	28	0.00000	32	0.00000	48	0.00000	31	0.00000	53	0.00000	67	0.00001	34	0.00000
Thermofilaceae	114378	F	35	0.00000	92	0.00000	51	0.00000	31	0.00000	24	0.00000	40	0.00000	102	0.00000	32	0.00000	54	0.00000	10	0.00000	18	0.00000
Desulfurococcaceae	2272	F	50	0.00000	149	0.00001	41	0.00000	58	0.00000	14	0.00000	21	0.00000	46	0.00000	35	0.00000	60	0.00000	36	0.00000	40	0.00000
Pyrodictiaceae	2307	F	9	0.00000	153	0.00001	11	0.00000	30	0.00000	5	0.00000	3	0.00000	5	0.00000	0	0.00000	20	0.00000	117	0.00001	6	0.00000
Acidilobaceae	871007	F	28	0.00000	57	0.00000	23	0.00000	67	0.00000	20	0.00000	5	0.00000	19	0.00000	39	0.00000	78	0.00001	12	0.00000	15	0.00000
Caldisphaeraceae	255472	F	24	0.00000	33	0.00000	14	0.00000	48	0.00000	5	0.00000	27	0.00000	59	0.00000	19	0.00000	16	0.00000	11	0.00000	17	0.00000
Fervidicoccaceae	685949	F	4	0.00000	16	0.00000	0	0.00000	18	0.00000	0	0.00000	3	0.00000	7	0.00000	0	0.00000	1	0.00000	3	0.00000	4	0.00000
Nitrosopumilaceae	338190	F	216	0.00001	292	0.00001	215	0.00001	276	0.00001	107	0.00001	77	0.00001	133	0.00001	218	0.00001	216	0.00001	115	0.00001	127	0.00001
Nitrososphaeraceae	1033997	F	66	0.00000	196	0.00001	78	0.00000	91	0.00000	20	0.00000	21	0.00000	65	0.00000	129	0.00001	95	0.00001	85	0.00001	30	0.00000
Candidatus Nitrosocaldaceae	1968910	F	111	0.00000	485	0.00002	0	0.00000	141	0.00000	33	0.00000	48	0.00001	133	0.00001	0	0.00000	0	0.00000	107	0.00001	45	0.00000
Podoviridae	10744	F	14040	0.00057	59	0.00000	237	0.00001	60963	0.00179	27556	0.00314	34	0.00000	67	0.00000	22	0.00000	7	0.00000	248035	0.01917	138	0.00001
Myoviridae	10662	F	2064	0.00008	6059	0.00028	17550	0.00082	46889	0.00137	1243	0.00014	1239	0.00015	3026	0.00015	344	0.00002	6656	0.00045	2147	0.00017	7827	0.00077
Siphoviridae	10699	F	684	0.00003	2890	0.00013	4279	0.00020	7844	0.00023	2506	0.00029	411	0.00005	1018	0.00005	2333	0.00016	5132	0.00035	4472	0.00035	803	0.00008
Herelleviridae	2560065	F	44	0.00000	65	0.00000	42	0.00000	92	0.00000	6	0.00000	11	0.00000	20	0.00000	45	0.00000	44	0.00000	50	0.00000	36	0.00000
Autographiviridae	2731643	F	40	0.00000	18	0.00000	11	0.00000	12	0.00000	7	0.00000	7	0.00000	21	0.00000	11	0.00000	13	0.00000	8	0.00000	5	0.00000
Ackermannviridae	2169529	F	13	0.00000	15	0.00000	32	0.00000	9	0.00000	4	0.00000	9	0.00000	14	0.00000	1	0.00000	6	0.00000	10	0.00000	7	0.00000
Demerecviridae	2731690	F	6	0.00000	24	0.00000	5	0.00000	21	0.00000	1	0.00000	5	0.00000	4	0.00000	11	0.00000	9	0.00000	4	0.00000	1	0.00000
Chaseviridae	2731689	F	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000
Drexlerviridae	2731691	F	1	0.00000	14	0.00000	6	0.00000	0	0.00000	1	0.00000	0	0.00000	5	0.00000	2	0.00000	776	0.00005	3	0.00000	5	0.00000
Herpesviridae	10292	F	23	0.00000	117	0.00001	18	0.00000	33	0.00000	3	0.00000	4	0.00000	16	0.00000	7	0.00000	13	0.00000	5	0.00000	13	0.00000
Alloherpesviridae	548682	F	4	0.00000	7	0.00000	6	0.00000	1	0.00000	0	0.00000	0	0.00000	5	0.00000	1	0.00000	0	0.00000	2	0.00000	1	0.00000
Closteroviridae	69973	F	38	0.00000	18	0.00000	11	0.00000	60	0.00000	7	0.00000	3	0.00000	13	0.00000	30	0.00000	13	0.00000	9	0.00000	6	0.00000
Togaviridae	11018	F	7	0.00000	1	0.00000	6	0.00000	2	0.00000	0	0.00000	0	0.00000	1	0.00000	1	0.00000	4	0.00000	0	0.00000	0	0.00000
Flaviviridae	11050	F	5	0.00000	8	0.00000	2	0.00000	8	0.00000	2	0.00000	5	0.00000	5	0.00000	0	0.00000	14	0.00000	2	0.00000	4	0.00000
Peribunyaviridae	1980416	F	6	0.00000	6	0.00000	0	0.00000	8	0.00000	0	0.00000	1	0.00000	1	0.00000	8	0.00000	0	0.00000	8	0.00000	1	0.00000
Arenaviridae	11617	F	2	0.00000	3	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	2	0.00000	0	0.00000	0	0.00000
Tospoviridae	1980419	F	2	0.00000	15	0.00000	6	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Rhabdoviridae	11270	F	6	0.00000	0	0.00000	14	0.00000	5	0.00000	2	0.00000	5	0.00000	10	0.00000	1	0.00000	2	0.00000	5	0.00000	0	0.00000
Iflaviridae	699189	F	17	0.00000	1	0.00000	0	0.00000	105	0.00000	6	0.00000	3	0.00000	5	0.00000	0	0.00000	5	0.00000	0	0.00000	0	0.00000
Caulimoviridae	186534	F	14	0.00000	0	0.00000	0	0.00000	1	0.00000	27	0.00000	3	0.00000	3	0.00000	0	0.00000	7	0.00000	24	0.00000	2	0.00000
