name	taxonomy_id	taxonomy_lvl	14_phylum.bracken_num	14_phylum.bracken_frac	17_phylum.bracken_num	17_phylum.bracken_frac	19_phylum.bracken_num	19_phylum.bracken_frac	20_phylum.bracken_num	20_phylum.bracken_frac	2126_phylum.bracken_num	2126_phylum.bracken_frac	22a_phylum.bracken_num	22a_phylum.bracken_frac	22b_phylum.bracken_num	22b_phylum.bracken_frac	25_phylum.bracken_num	25_phylum.bracken_frac	2621_phylum.bracken_num	2621_phylum.bracken_frac	27_phylum.bracken_num	27_phylum.bracken_frac	Stan_phylum.bracken_num	Stan_phylum.bracken_frac
Uroviricota	2731618	P	16894	0.00068	9146	0.00042	22163	0.00103	115831	0.00339	31324	0.00357	1716	0.00020	4176	0.00020	2769	0.00019	12644	0.00085	254732	0.01969	8823	0.00087
Peploviricota	2731361	P	27	0.00000	128	0.00001	24	0.00000	34	0.00000	3	0.00000	4	0.00000	21	0.00000	8	0.00000	13	0.00000	7	0.00000	14	0.00000
Kitrinoviricota	2732406	P	50	0.00000	40	0.00000	23	0.00000	72	0.00000	10	0.00000	9	0.00000	19	0.00000	35	0.00000	34	0.00000	11	0.00000	12	0.00000
Negarnaviricota	2497569	P	16	0.00000	28	0.00000	23	0.00000	14	0.00000	4	0.00000	8	0.00000	19	0.00000	11	0.00000	11	0.00000	13	0.00000	4	0.00000
Pisuviricota	2732408	P	17	0.00000	60	0.00000	41	0.00000	134	0.00000	9	0.00000	6	0.00000	10	0.00000	78	0.00001	10	0.00000	16	0.00000	4	0.00000
Artverviricota	2732409	P	14	0.00000	0	0.00000	0	0.00000	1	0.00000	29	0.00000	5	0.00000	5	0.00000	0	0.00000	56	0.00000	68	0.00001	55	0.00001
Nucleocytoviricota	2732007	P	89	0.00000	229	0.00001	81	0.00000	179	0.00001	36	0.00000	61	0.00001	156	0.00001	82	0.00001	130	0.00001	112	0.00001	45	0.00000
Preplasmiviricota	2732008	P	4	0.00000	38	0.00000	6	0.00000	125	0.00000	11	0.00000	0	0.00000	1	0.00000	4	0.00000	14	0.00000	4	0.00000	8	0.00000
Phixviricota	2732412	P	39	0.00000	161	0.00001	13	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	20	0.00000	108	0.00001	6	0.00000
Cossaviricota	2732415	P	87	0.00000	15	0.00000	2	0.00000	5	0.00000	3	0.00000	9	0.00000	22	0.00000	11	0.00000	7	0.00000	1	0.00000	6	0.00000
Dividoviricota	2732009	P	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Cressdnaviricota	2732416	P	0	0.00000	5	0.00000	19	0.00000	4	0.00000	10	0.00000	25	0.00000	63	0.00000	1	0.00000	5	0.00000	2	0.00000	0	0.00000
Duplornaviricota	2732405	P	0	0.00000	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	3	0.00000
Lenarviricota	2732407	P	0	0.00000	232	0.00001	0	0.00000	39	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00000
Hofneiviricota	2732410	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	41	0.00000	6	0.00000	0	0.00000
